2025-03-19T21:14:38.323923Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[7].bmask"
2025-03-19T21:14:38.323928Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[7].retire_rdy"
2025-03-19T21:14:38.323933Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[8].t"
2025-03-19T21:14:38.323937Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[8].t_old"
2025-03-19T21:14:38.323941Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[8].bmask"
2025-03-19T21:14:38.323985Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[8].retire_rdy"
2025-03-19T21:14:38.324001Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[9].t"
2025-03-19T21:14:38.324005Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[9].t_old"
2025-03-19T21:14:38.324010Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[9].bmask"
2025-03-19T21:14:38.324014Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[9].retire_rdy"
2025-03-19T21:14:38.324019Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[10].t"
2025-03-19T21:14:38.324023Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[10].t_old"
2025-03-19T21:14:38.324027Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[10].bmask"
2025-03-19T21:14:38.324032Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[10].retire_rdy"
2025-03-19T21:14:38.324036Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[11].t"
2025-03-19T21:14:38.324041Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[11].t_old"
2025-03-19T21:14:38.324045Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[11].bmask"
2025-03-19T21:14:38.324049Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[11].retire_rdy"
2025-03-19T21:14:38.324054Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[12].t"
2025-03-19T21:14:38.324058Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[12].t_old"
2025-03-19T21:14:38.324062Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[12].bmask"
2025-03-19T21:14:38.324066Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[12].retire_rdy"
2025-03-19T21:14:38.324070Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[13].t"
2025-03-19T21:14:38.324075Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[13].t_old"
2025-03-19T21:14:38.324079Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[13].bmask"
2025-03-19T21:14:38.324089Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[13].retire_rdy"
2025-03-19T21:14:38.324093Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[14].t"
2025-03-19T21:14:38.324098Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[14].t_old"
2025-03-19T21:14:38.324102Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[14].bmask"
2025-03-19T21:14:38.324106Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[14].retire_rdy"
2025-03-19T21:14:38.324110Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[15].t"
2025-03-19T21:14:38.324115Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[15].t_old"
2025-03-19T21:14:38.324119Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[15].bmask"
